# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 15 15:49:49 2019
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%CONFIRMED%')
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [AU]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag
471,3656121,K00386.01,Kepler-146 b,CONFIRMED,31.158797490,173.9041400,0.4905,5.18340,8.7770e+02,3.23,0.1931,89.38,640.0,39.77,1,6197.00,4.382,-0.3000,1.0600,0.9860,,294.110750,38.710232,13.838
472,3656121,K00386.02,Kepler-146 c,CONFIRMED,76.732516800,200.6715900,0.2751,6.21400,7.3770e+02,2.91,0.3521,89.95,474.0,11.96,2,6197.00,4.382,-0.3000,1.0600,0.9860,,294.110750,38.710232,13.838
473,3733628,K00387.01,Kepler-543 b,CONFIRMED,13.899619660,182.8652710,0.7280,3.56330,1.1462e+03,2.43,0.0980,88.24,521.0,17.37,1,4538.00,4.607,-0.2000,0.6630,0.6500,,287.218720,38.862522,13.577
478,3942670,K00392.01,Kepler-147 c,CONFIRMED,33.416003400,171.3384800,0.9375,8.12700,2.8280e+02,2.63,0.2098,85.94,650.0,42.11,1,6010.00,4.279,0.0800,1.2600,1.1000,,287.975770,39.087181,13.954
479,3942670,K00392.02,Kepler-147 b,CONFIRMED,12.610970800,138.1787000,0.5916,4.65900,9.6400e+01,1.29,0.1095,88.24,899.0,154.60,2,6010.00,4.279,0.0800,1.2600,1.1000,,287.975770,39.087181,13.954
480,3964109,K00393.01,Kepler-544 b,CONFIRMED,21.416169260,176.2512300,0.2294,7.08900,3.1040e+02,2.02,0.1611,89.38,743.0,72.16,1,6343.00,4.411,0.0700,1.1370,1.2130,,294.029110,39.051849,13.542
485,9946525,K00398.01,Kepler-148 d,CONFIRMED,51.846885750,170.0813730,0.6563,4.77880,1.0314e+04,8.95,0.2623,89.38,416.0,7.05,1,5271.00,4.543,0.1400,0.8380,0.8930,,289.786220,46.858791,15.342
486,9946525,K00398.02,Kepler-148 c,CONFIRMED,4.180049552,173.7189260,0.1031,2.46960,1.8805e+03,3.55,0.0490,89.38,962.0,202.06,2,5271.00,4.543,0.1400,0.8380,0.8930,,289.786220,46.858791,15.342
487,9946525,K00398.03,Kepler-148 b,CONFIRMED,1.729366467,133.8197000,0.1140,1.75420,5.1720e+02,1.87,0.0272,89.38,1291.0,655.74,3,5271.00,4.543,0.1400,0.8380,0.8930,,289.786220,46.858791,15.342
490,3217264,K00401.01,Kepler-149 b,CONFIRMED,29.198983800,185.4409570,0.0634,5.09050,2.1083e+03,3.77,0.1757,89.95,531.0,18.75,1,5529.00,4.526,-0.2000,0.8320,0.8480,,285.853670,38.384121,14.001
491,3217264,K00401.02,Kepler-149 d,CONFIRMED,160.020059700,251.2778700,0.6845,5.10100,1.6085e+03,3.54,0.5463,89.95,301.0,1.94,2,5529.00,4.526,-0.2000,0.8320,0.8480,,285.853670,38.384121,14.001
492,3217264,K00401.03,Kepler-149 c,CONFIRMED,55.328581300,186.3259000,0.7060,6.93000,3.4960e+02,1.66,0.2691,89.38,429.0,7.99,3,5529.00,4.526,-0.2000,0.8320,0.8480,,285.853670,38.384121,14.001
499,5351250,K00408.01,Kepler-150 c,CONFIRMED,7.381977254,173.0731420,0.4861,3.12810,1.5118e+03,3.70,0.0733,88.24,922.0,170.48,1,5862.00,4.484,-0.1400,0.9310,0.9630,,288.234100,40.520901,14.985
500,5351250,K00408.02,Kepler-150 d,CONFIRMED,12.560927960,166.7964700,0.0066,3.71580,9.6690e+02,2.88,0.1045,89.95,772.0,83.88,2,5862.00,4.484,-0.1400,0.9310,0.9630,,288.234100,40.520901,14.985
501,5351250,K00408.03,Kepler-150 e,CONFIRMED,30.826471300,153.0061600,0.8458,4.95200,7.7590e+02,2.95,0.1902,88.24,572.0,25.32,3,5862.00,4.484,-0.1400,0.9310,0.9630,,288.234100,40.520901,14.985
502,5351250,K00408.04,Kepler-150 b,CONFIRMED,3.428041680,132.3679700,0.2247,2.36410,2.0640e+02,1.34,0.0440,88.81,1189.0,473.14,4,5862.00,4.484,-0.1400,0.9310,0.9630,,288.234100,40.520901,14.985
503,5444548,K00409.01,Kepler-545 b,CONFIRMED,13.249340590,179.5207500,0.3503,4.46340,6.5330e+02,2.47,0.1124,88.81,767.0,81.90,1,5936.00,4.501,0.0700,0.9650,1.0750,,290.566310,40.692039,14.150
506,5683743,K00412.01,Kepler-546 b,CONFIRMED,4.147020258,170.3260660,0.0219,2.89690,3.8464e+03,7.43,0.0502,89.95,1257.0,590.84,1,5818.00,4.266,-0.0200,1.2050,0.9770,,283.257600,40.990501,14.288
507,5791986,K00413.01,Kepler-151 b,CONFIRMED,15.228956980,176.5594000,0.6694,2.55740,1.1862e+03,2.98,0.1149,88.81,643.0,40.31,1,5460.00,4.553,-0.1000,0.8180,0.8740,,292.162780,41.023239,14.769
508,5791986,K00413.02,Kepler-151 c,CONFIRMED,24.674642110,146.7706500,0.1248,3.08870,6.7080e+02,2.09,0.1586,89.95,547.0,21.16,2,5460.00,4.553,-0.1000,0.8180,0.8740,,292.162780,41.023239,14.769
512,6508221,K00416.01,Kepler-152 b,CONFIRMED,18.207956930,185.8428160,0.4576,3.77290,1.6246e+03,3.09,0.1277,89.38,567.0,24.37,1,5262.00,4.598,-0.1400,0.7610,0.8460,,286.865480,41.989079,14.290
513,6508221,K00416.02,Kepler-152 c,CONFIRMED,88.255354400,153.7793200,0.2563,4.04880,1.1644e+03,2.56,0.3658,89.95,335.0,2.97,2,5262.00,4.598,-0.1400,0.7610,0.8460,,286.865480,41.989079,14.290
519,8352537,K00420.01,Kepler-547 b,CONFIRMED,6.010384289,174.0847710,0.6231,2.22430,2.7389e+03,4.02,0.0580,88.24,768.0,82.31,1,4882.00,4.558,-0.1200,0.7380,0.7180,,286.118680,44.345280,14.247
520,9115800,K00421.01,Kepler-548 b,CONFIRMED,4.454194338,172.8202060,0.4894,2.31980,1.7220e+04,12.21,0.0495,88.24,1016.0,252.22,1,5359.00,4.425,-0.0600,0.9150,0.8120,,299.905910,45.439678,14.995
521,9478990,K00423.01,Kepler-39 b,CONFIRMED,21.087194220,202.8583510,0.0010,5.93614,9.3185e+03,14.77,0.1527,89.95,873.0,137.06,1,6266.00,4.101,-0.2800,1.5220,1.0660,,296.960270,46.034302,14.327
526,10189546,K00427.02,Kepler-549 b,CONFIRMED,42.949564900,153.7376200,0.0311,5.34690,9.9840e+02,2.66,0.2264,89.95,469.0,11.43,2,5467.00,4.496,-0.1400,0.8560,0.8390,,283.022800,47.261131,14.621
527,10189546,K00427.03,Kepler-549 c,CONFIRMED,117.040498000,245.6161600,0.9206,8.54500,8.0560e+02,2.99,0.4416,88.81,336.0,3.00,3,5467.00,4.496,-0.1400,0.8560,0.8390,,283.022800,47.261131,14.621
528,10418224,K00428.01,Kepler-40 b,CONFIRMED,6.873165232,172.5189190,0.0743,6.85930,3.9555e+03,13.80,0.0813,89.38,1482.0,1140.56,1,6490.00,3.942,0.0800,2.1790,1.5160,,296.813690,47.526611,14.588
529,10616679,K00429.01,Kepler-550 b,CONFIRMED,8.600104109,172.5286190,0.0265,4.02510,2.9460e+03,4.28,0.0747,89.95,760.0,78.72,1,5246.00,4.501,-0.2400,0.8050,0.7480,,297.700230,47.863750,14.486
530,10717241,K00430.01,Kepler-551 b,CONFIRMED,12.376466100,179.4047470,0.6375,2.75340,1.7710e+03,2.11,0.0837,88.81,401.0,6.12,1,3797.00,4.783,-0.1000,0.4800,0.5100,,285.485050,48.054321,14.897
532,10843590,K00431.01,Kepler-153 b,CONFIRMED,18.870215660,178.7116100,0.1215,3.09070,1.1331e+03,2.87,0.1274,89.95,621.0,35.13,1,5402.00,4.452,-0.2400,0.8650,0.7740,,282.460510,48.257118,14.262
533,10843590,K00431.02,Kepler-153 c,CONFIRMED,46.902511200,154.3039700,0.3676,3.94190,8.3360e+02,2.50,0.2337,89.95,458.0,10.44,2,5402.00,4.452,-0.2400,0.8650,0.7740,,282.460510,48.257118,14.262
534,10858832,K00432.01,Kepler-552 b,CONFIRMED,5.263415765,174.3507880,0.8666,2.17780,1.0668e+03,3.86,0.0612,85.37,1100.0,345.55,1,6091.00,4.458,0.0200,1.0250,1.0950,,290.747680,48.242008,14.279
535,10937029,K00433.01,Kepler-553 b,CONFIRMED,4.030468037,171.0921970,0.3527,2.80160,2.9912e+03,4.86,0.0488,88.24,1051.0,288.38,1,5551.00,4.509,0.1000,0.8990,0.9520,,298.550840,48.332451,14.924
536,10937029,K00433.02,Kepler-553 c,CONFIRMED,328.239954600,199.2041420,0.7508,12.12710,1.4336e+04,11.83,0.9166,89.95,242.0,0.82,2,5551.00,4.509,0.1000,0.8990,0.9520,,298.550840,48.332451,14.924
538,11709124,K00435.01,Kepler-154 d,CONFIRMED,20.549818830,178.9461200,0.2003,5.45860,1.6146e+03,3.29,0.1426,89.38,633.0,37.85,1,5937.00,4.559,-0.4000,0.8320,0.9160,,289.780520,49.896530,14.534
539,11709124,K00435.03,Kepler-154 b,CONFIRMED,33.040563500,161.2211900,0.2254,3.32110,5.7770e+02,1.97,0.1957,89.95,540.0,20.10,4,5937.00,4.559,-0.4000,0.8320,0.9160,,289.780520,49.896530,14.534
540,11709124,K00435.04,Kepler-154 e,CONFIRMED,3.932764650,134.6512300,0.3347,2.91660,2.4490e+02,1.29,0.0474,88.24,1097.0,342.58,3,5937.00,4.559,-0.4000,0.8320,0.9160,,289.780520,49.896530,14.534
541,11709124,K00435.05,Kepler-154 c,CONFIRMED,62.302787300,179.0981200,0.7420,7.57300,9.1340e+02,2.73,0.2987,88.81,437.0,8.63,2,5937.00,4.559,-0.4000,0.8320,0.9160,,289.780520,49.896530,14.534
542,11709124,K00435.06,Kepler-154 f,CONFIRMED,9.919356840,136.8765600,0.7983,4.24000,1.8490e+02,1.26,0.0878,85.94,806.0,99.85,5,5937.00,4.559,-0.4000,0.8320,0.9160,,289.780520,49.896530,14.534
545,12302530,K00438.01,Kepler-155 b,CONFIRMED,5.931192939,174.7971650,0.8060,2.38110,1.0536e+03,1.95,0.0529,86.52,562.0,23.52,1,3985.00,4.721,-0.2200,0.5400,0.5600,,288.495820,51.081940,14.258
546,12302530,K00438.02,Kepler-155 c,CONFIRMED,52.661583600,183.5189200,0.1574,3.00190,1.0661e+03,1.76,0.2267,89.95,271.0,1.28,2,3985.00,4.721,-0.2200,0.5400,0.5600,,288.495820,51.081940,14.258
547,12470954,K00439.01,Kepler-554 b,CONFIRMED,1.902208556,170.4497900,0.0433,2.20773,2.3411e+03,3.92,0.0294,89.38,1271.0,616.28,1,5438.00,4.577,0.0700,0.8250,0.9380,,296.406860,51.358150,14.313
548,2438264,K00440.01,Kepler-156 c,CONFIRMED,15.906864370,177.9318500,0.6580,4.02290,9.6820e+02,2.51,0.1150,88.24,579.0,26.55,1,5075.00,4.569,-0.0200,0.7690,0.8010,,290.296510,37.749489,14.172
549,2438264,K00440.02,Kepler-156 b,CONFIRMED,4.973451411,170.8862260,0.8589,1.67910,7.7420e+02,2.51,0.0530,85.94,853.0,124.98,2,5075.00,4.569,-0.0200,0.7690,0.8010,,290.296510,37.749489,14.172
551,3745690,K00442.01,Kepler-157 c,CONFIRMED,13.540568740,171.6767500,0.8358,4.54730,4.8850e+02,2.33,0.1121,86.52,762.0,79.88,1,5988.00,4.507,-0.1200,0.9340,1.0210,,291.097230,38.875610,14.002
552,3745690,K00442.02,Kepler-157 b,CONFIRMED,1.732345491,134.5320700,0.0845,2.22540,1.8460e+02,1.27,0.0285,89.38,1512.0,1235.77,2,5988.00,4.507,-0.1200,0.9340,1.0210,,291.097230,38.875610,14.002
553,3745690,K00442.03,Kepler-157 d,CONFIRMED,7.025734740,133.6297200,0.0774,2.11140,1.9840e+02,1.32,0.0724,89.95,949.0,191.49,3,5988.00,4.507,-0.1200,0.9340,1.0210,,291.097230,38.875610,14.002
554,3833007,K00443.01,Kepler-555 b,CONFIRMED,16.217754070,180.0419600,0.2746,4.92960,7.6470e+02,2.22,0.1200,89.38,663.0,45.73,1,5834.00,4.577,-0.4400,0.7970,0.8750,,285.516850,38.932400,14.200
555,3847138,K00444.01,Kepler-556 b,CONFIRMED,11.722921760,177.3185000,0.0891,4.17500,5.1960e+02,2.13,0.1019,89.95,797.0,95.29,1,5957.00,4.506,-0.0800,0.9370,1.0260,,290.529420,38.942661,14.112
556,4633570,K00446.01,Kepler-158 b,CONFIRMED,16.709206920,174.7546700,0.9227,3.05600,8.9330e+02,2.53,0.1112,87.09,500.0,14.73,1,4621.00,4.605,-0.2400,0.6680,0.6560,,284.032230,39.781330,14.427
557,4633570,K00446.02,Kepler-158 c,CONFIRMED,28.551568680,185.4774500,0.5191,4.07870,7.9260e+02,1.90,0.1589,89.38,418.0,7.21,2,4621.00,4.605,-0.2400,0.6680,0.6560,,284.032230,39.781330,14.427
559,5640085,K00448.01,Kepler-159 b,CONFIRMED,10.139618410,178.4494800,0.7152,2.73420,1.2252e+03,1.87,0.0738,88.24,447.0,9.45,1,3894.00,4.756,-0.2800,0.5000,0.5200,,297.070160,40.868790,14.902
560,5640085,K00448.02,Kepler-159 c,CONFIRMED,43.586426090,194.6052200,0.7873,5.11600,2.3064e+03,2.64,0.1950,88.81,275.0,1.35,2,3894.00,4.756,-0.2800,0.5000,0.5200,,297.070160,40.868790,14.902
564,6291033,K00452.01,Kepler-557 b,CONFIRMED,3.705989551,169.9434200,0.4146,5.10390,5.1850e+02,2.40,0.0469,85.37,1281.0,637.42,1,6187.00,4.409,-0.2600,1.0340,0.9970,,293.708470,41.615131,14.641
566,7098355,K00454.01,Kepler-558 b,CONFIRMED,29.007905380,170.5540500,0.0650,4.82590,8.9920e+02,2.34,0.1760,89.95,497.0,14.39,1,5292.00,4.571,-0.0200,0.7970,0.8630,,284.657870,42.652679,14.805
568,7269974,K00456.01,Kepler-160 c,CONFIRMED,13.699417220,171.4804440,0.3139,4.33430,1.2641e+03,3.11,0.1077,89.38,733.0,68.25,1,5857.00,4.510,-0.3600,0.8670,0.8870,,287.773560,42.869282,14.619
569,7269974,K00456.02,Kepler-160 b,CONFIRMED,4.309201080,134.0752600,0.1058,1.05200,4.1690e+02,1.78,0.0498,89.95,1078.0,319.22,2,5857.00,4.510,-0.3600,0.8670,0.8870,,287.773560,42.869282,14.619
570,7440748,K00457.01,Kepler-161 b,CONFIRMED,4.921354681,174.2996940,0.3115,1.86480,8.0010e+02,2.07,0.0528,88.81,838.0,116.67,1,5079.00,4.609,-0.1000,0.7390,0.8170,,290.516480,43.083820,14.196
571,7440748,K00457.02,Kepler-161 c,CONFIRMED,7.064256441,135.3791210,0.0026,1.38260,7.3300e+02,1.96,0.0672,89.95,743.0,72.02,2,5079.00,4.609,-0.1000,0.7390,0.8170,,290.516480,43.083820,14.196
573,7977197,K00459.01,Kepler-162 c,CONFIRMED,19.446386980,170.1023900,0.8024,3.63550,9.6140e+02,3.28,0.1355,88.24,681.0,50.73,1,5815.00,4.421,-0.3000,0.9540,0.8750,,297.278900,43.724018,14.248
574,7977197,K00459.02,Kepler-162 b,CONFIRMED,6.919867340,134.1161600,0.0238,3.32920,1.8240e+02,1.28,0.0680,89.95,961.0,201.41,2,5815.00,4.421,-0.3000,0.9540,0.8750,,297.278900,43.724018,14.248
575,8043638,K00460.01,Kepler-559 b,CONFIRMED,17.587523330,176.0773560,0.3132,4.38210,1.4481e+03,4.17,0.1299,89.38,719.0,63.20,1,5602.00,4.330,0.1200,1.1000,0.9440,,296.636840,43.802792,14.743
579,8845205,K00463.01,Kepler-560 b,CONFIRMED,18.477644490,185.2685600,0.0420,1.87770,2.7965e+03,1.57,0.0916,89.95,270.0,1.26,1,3387.00,4.961,-0.0900,0.3000,0.3000,,300.206090,45.018139,14.708
580,8890783,K00464.01,Kepler-561 b,CONFIRMED,58.362049500,196.5550620,0.0467,6.28590,5.6353e+03,7.04,0.2918,89.95,446.0,9.33,1,5592.00,4.467,0.1600,0.9530,0.9730,,293.747100,45.107220,14.361
581,8890783,K00464.02,Kepler-561 c,CONFIRMED,5.350161983,195.7604820,0.1524,2.24300,8.0050e+02,2.66,0.0593,89.38,989.0,226.02,2,5592.00,4.467,0.1600,0.9530,0.9730,,293.747100,45.107220,14.361
583,9583881,K00467.01,Kepler-562 b,CONFIRMED,18.009314436,182.4413830,0.5445,4.97130,3.2068e+03,5.12,0.1333,88.81,658.0,44.29,1,5815.00,4.540,-0.1200,0.8770,0.9730,,290.119630,46.273811,14.794
584,9589524,K00468.01,Kepler-563 b,CONFIRMED,22.184327080,174.5974780,0.1219,3.05630,1.7359e+03,3.33,0.1418,89.95,546.0,21.06,1,5157.00,4.500,-0.0800,0.8180,0.7710,,292.446260,46.289768,14.767
586,9844088,K00470.01,Kepler-564 b,CONFIRMED,3.750832285,171.1518470,0.0902,1.95913,2.5238e+03,4.74,0.0484,89.38,1129.0,383.77,1,5776.00,4.512,0.2100,0.9500,1.0680,,296.838380,46.626400,14.749
587,10019643,K00471.01,Kepler-163 c,CONFIRMED,21.347361200,171.7350600,0.0320,3.82870,6.2490e+02,2.23,0.1506,89.95,623.0,35.56,1,5772.00,4.528,0.0000,0.9010,0.9990,,295.002810,46.987331,14.415
588,10019643,K00471.02,Kepler-163 b,CONFIRMED,7.811046730,132.2996800,0.1505,3.14700,1.3650e+02,1.05,0.0771,89.38,870.0,135.66,2,5772.00,4.528,0.0000,0.9010,0.9990,,295.002810,46.987331,14.415
589,10123064,K00472.01,Kepler-565 b,CONFIRMED,4.243747226,173.5632610,0.0171,3.36800,1.4782e+03,3.22,0.0501,89.95,1061.0,299.93,1,5876.00,4.558,-0.3000,0.8400,0.9260,,283.617950,47.196678,15.000
591,10460984,K00474.01,Kepler-164 c,CONFIRMED,10.945772220,176.7186500,0.2857,2.96220,5.4610e+02,2.69,0.0991,89.38,950.0,192.59,1,6353.00,4.359,-0.1400,1.1390,1.0760,,287.780850,47.629910,14.282
592,10460984,K00474.02,Kepler-164 d,CONFIRMED,28.986832600,134.7821900,0.0271,3.43290,4.5990e+02,2.46,0.1897,89.95,687.0,52.56,2,6353.00,4.359,-0.1400,1.1390,1.0760,,287.780850,47.629910,14.282
594,10460984,K00474.04,Kepler-164 b,CONFIRMED,5.035065430,132.6545900,0.0842,1.76020,1.6010e+02,1.45,0.0590,89.95,1231.0,543.33,4,6353.00,4.359,-0.1400,1.1390,1.0760,,287.780850,47.629910,14.282
595,10577994,K00475.01,Kepler-165 b,CONFIRMED,8.180869530,176.7007400,0.8766,2.95870,7.6640e+02,2.46,0.0716,85.37,746.0,73.21,1,5208.00,4.546,-0.3200,0.7550,0.7330,,280.691010,47.809738,14.802
596,10577994,K00475.02,Kepler-165 c,CONFIRMED,15.312976590,171.7935400,0.0473,3.04810,9.0880e+02,2.24,0.1088,89.95,605.0,31.71,2,5208.00,4.546,-0.3200,0.7550,0.7330,,280.691010,47.809738,14.802
597,10599206,K00476.01,Kepler-566 b,CONFIRMED,18.427946240,178.4404500,0.2867,2.87020,7.4020e+02,2.08,0.1234,89.38,568.0,24.64,1,5140.00,4.527,-0.2200,0.7750,0.7370,,291.554500,47.814480,14.958
598,10934674,K00477.01,Kepler-567 b,CONFIRMED,16.542973750,169.6488800,0.2194,3.87250,8.1010e+02,2.42,0.1229,89.38,611.0,32.94,1,5215.00,4.518,0.2800,0.8670,0.9040,,297.672610,48.302311,14.687
599,10990886,K00478.01,Kepler-568 b,CONFIRMED,11.023474750,171.1148020,0.1005,1.42100,1.8422e+03,2.11,0.0780,89.95,418.0,7.23,1,3744.00,4.756,0.1300,0.5000,0.5200,,298.105710,48.401150,14.273
600,11015323,K00479.01,Kepler-569 b,CONFIRMED,34.188905210,193.3887600,0.2802,5.31840,1.1083e+03,3.06,0.2067,89.95,544.0,20.69,1,5851.00,4.515,-0.0400,0.9180,1.0070,,283.507260,48.552601,14.106
601,11134879,K00480.01,Kepler-570 b,CONFIRMED,4.301662003,172.3102920,0.1786,2.06990,7.6050e+02,2.36,0.0497,89.38,1008.0,244.48,1,5480.00,4.509,-0.0400,0.8650,0.8810,,290.437590,48.791882,14.332
602,11192998,K00481.01,Kepler-166 b,CONFIRMED,7.650241916,171.9724680,0.0004,2.74720,1.0170e+03,2.39,0.0711,89.95,780.0,87.56,1,5413.00,4.590,-0.2800,0.7590,0.8190,,293.160160,48.881191,14.701
603,11192998,K00481.02,Kepler-166 d,CONFIRMED,1.554003928,169.8304780,0.1480,1.76960,4.4060e+02,1.58,0.0246,88.81,1326.0,731.43,2,5413.00,4.590,-0.2800,0.7590,0.8190,,293.160160,48.881191,14.701
604,11192998,K00481.03,Kepler-166 c,CONFIRMED,34.259513720,183.2375200,0.0859,4.79680,1.1101e+03,2.49,0.1931,89.95,473.0,11.87,3,5413.00,4.590,-0.2800,0.7590,0.8190,,293.160160,48.881191,14.701
606,11497977,K00483.01,Kepler-571 b,CONFIRMED,4.798599388,173.2577570,0.3144,2.99790,8.6580e+02,2.49,0.0544,88.24,980.0,217.77,1,5632.00,4.553,-0.0800,0.8460,0.9320,,286.551030,49.418739,14.675
607,12061222,K00484.01,Kepler-572 b,CONFIRMED,17.205234830,175.0581100,0.0431,3.62110,1.1334e+03,2.29,0.1194,89.95,553.0,22.18,1,5208.00,4.641,-0.3800,0.6930,0.7710,,291.221100,50.581299,14.472
609,12404305,K00486.01,Kepler-573 b,CONFIRMED,22.183296580,169.4968700,0.0253,5.06060,7.7100e+02,2.06,0.1450,89.95,583.0,27.32,1,5843.00,4.614,-0.7000,0.7420,0.8310,,289.521150,51.237309,14.118
610,12834874,K00487.01,Kepler-574 b,CONFIRMED,7.658804140,173.0390200,0.0548,3.05760,7.0100e+02,2.25,0.0723,89.95,858.0,128.18,1,5657.00,4.508,-0.2600,0.8550,0.8580,,290.247040,52.149132,14.528
611,2557816,K00488.01,Kepler-575 b,CONFIRMED,9.378919440,176.4519000,0.5162,3.30440,6.0050e+02,2.03,0.0788,88.24,803.0,98.22,1,5684.00,4.493,-0.6600,0.8080,0.7410,,286.963900,37.829708,14.720
613,3239945,K00490.01,Kepler-167 b,CONFIRMED,4.393156523,172.8681300,0.0544,2.41970,4.7640e+02,1.71,0.0482,89.95,899.0,154.44,1,4978.00,4.511,0.0700,0.8080,0.7720,,292.658420,38.345390,14.023
614,3239945,K00490.03,Kepler-167 c,CONFIRMED,7.406107750,134.0747200,0.6578,2.88800,4.2790e+02,1.76,0.0683,87.66,755.0,76.91,3,4978.00,4.511,0.0700,0.8080,0.7720,,292.658420,38.345390,14.023
615,3239945,K00490.04,Kepler-167 d,CONFIRMED,21.803876300,139.0698800,0.7053,3.38800,2.5800e+02,1.39,0.1402,88.81,527.0,18.25,4,4978.00,4.511,0.0700,0.8080,0.7720,,292.658420,38.345390,14.023
617,3559935,K00492.01,Kepler-576 b,CONFIRMED,29.911367940,194.7069900,0.7361,6.83600,9.5290e+02,4.06,0.1892,88.24,626.0,36.19,1,5589.00,4.270,0.3000,1.2180,1.0070,,295.182920,38.654228,14.424
619,3966801,K00494.01,Kepler-577 b,CONFIRMED,25.695782510,188.7895900,0.5133,3.92890,1.1643e+03,1.68,0.1353,89.38,315.0,2.32,1,3789.00,4.774,-0.2100,0.4800,0.5000,,294.711940,39.073761,14.885
621,4454752,K00496.01,Kepler-578 b,CONFIRMED,1.616883696,169.8034840,0.7883,1.58450,4.5990e+02,2.54,0.0258,81.36,1536.0,1315.58,1,5417.00,4.325,0.1200,1.0660,0.8770,,288.754940,39.563648,14.411
622,4757437,K00497.01,Kepler-168 c,CONFIRMED,13.193209200,175.6106300,0.0588,4.96900,6.1580e+02,2.79,0.1125,89.95,870.0,135.20,1,6251.00,4.378,-0.0600,1.1190,1.0890,,294.710170,39.825100,14.606
623,4757437,K00497.02,Kepler-168 b,CONFIRMED,4.425346210,134.5624700,0.0622,3.50200,1.8850e+02,1.54,0.0543,89.38,1252.0,580.32,2,6251.00,4.378,-0.0600,1.1190,1.0890,,294.710170,39.825100,14.606
624,4847534,K00499.01,Kepler-579 b,CONFIRMED,9.668577230,174.5347500,0.2078,2.37090,4.2940e+02,1.70,0.0854,89.38,730.0,67.06,1,5288.00,4.541,0.1000,0.8360,0.8840,,295.002040,39.952930,14.272
625,4852528,K00500.01,Kepler-80 b,CONFIRMED,7.053514449,176.4752630,0.0237,2.42700,1.5405e+03,2.21,0.0604,89.95,547.0,21.23,1,4040.00,4.697,-0.1400,0.5700,0.5900,,296.112580,39.978779,14.804
626,4852528,K00500.02,Kepler-80 c,CONFIRMED,9.521650159,177.4843990,0.1636,2.34780,1.6238e+03,2.27,0.0738,89.95,495.0,14.22,2,4040.00,4.697,-0.1400,0.5700,0.5900,,296.112580,39.978779,14.804
627,4852528,K00500.03,Kepler-80 d,CONFIRMED,3.072149196,134.0285000,0.6555,1.99740,4.9960e+02,1.34,0.0347,85.94,722.0,64.33,3,4040.00,4.697,-0.1400,0.5700,0.5900,,296.112580,39.978779,14.804
628,4852528,K00500.04,Kepler-80 e,CONFIRMED,4.645397088,134.5877300,0.5761,2.07170,5.4490e+02,1.37,0.0457,87.66,629.0,37.09,5,4040.00,4.697,-0.1400,0.5700,0.5900,,296.112580,39.978779,14.804
629,4852528,K00500.05,Kepler-80 f,CONFIRMED,0.986787059,133.1701500,0.0382,1.40070,3.1130e+02,1.00,0.0163,89.38,1054.0,291.55,4,4040.00,4.697,-0.1400,0.5700,0.5900,,296.112580,39.978779,14.804
632,5340644,K00503.01,Kepler-580 b,CONFIRMED,8.222419656,172.9559990,0.5877,2.70450,1.5488e+03,2.28,0.0665,88.24,512.0,16.30,1,4003.00,4.705,-0.1300,0.5600,0.5800,,283.499820,40.552799,15.000
633,5461440,K00504.01,Kepler-581 b,CONFIRMED,40.606982100,199.2577900,0.0279,5.71900,6.9640e+02,2.16,0.2244,89.95,475.0,12.05,1,5601.00,4.560,-0.1200,0.8300,0.9110,,295.432800,40.648239,14.560
634,5689351,K00505.01,Kepler-169 e,CONFIRMED,13.767085390,174.8126400,0.8290,2.99570,6.5740e+02,2.75,0.1065,87.66,678.0,49.82,1,5173.00,4.422,0.2600,0.9390,0.8500,,285.999880,40.919319,14.194
